Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1996","1996","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1997","1997","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1998","1998","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1999","1999","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","2000","2000","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","2001","2001","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","2002","2002","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","2003","2003","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","2004","2004","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","2005","2005","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","2006","2006","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","2007","2007","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","2008","2008","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","2009","2009","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","2010","2010","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","2011","2011","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","2012","2012","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","2013","2013","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","2014","2014","°C","0.324","Fc","Calculated data"
